majopinionwriter_name,casename,opinion_pdf_url,term,majopinionwriter,decree,datedecided,docket,per_curiam
Sonia Sotomayor,Lockhart v. United States,http://supremecourt.gov/opinions/15pdf/14-8358_o7jp.pdf,2015,113,False,3/01/16,14-8358,False
Anthony Kennedy,Gobeille v. Liberty Mut. Ins. Co.,http://supremecourt.gov/opinions/15pdf/14-181_5426.pdf,2015,106,False,3/01/16,14-181,False
,Amgen Inc. v. Harris,http://supremecourt.gov/opinions/15pdf/15-278_2co3.pdf,2015,,False,1/25/16,15-278,True
,James v. Boise,http://supremecourt.gov/opinions/15pdf/15-493_5h26.pdf,2015,,False,1/25/16,15-493,True
Elena Kagan,FERC v. Electric Power Supply Assn.,http://supremecourt.gov/opinions/15pdf/14-840- new_o75q.pdf,2015,114,False,1/25/16,14-840,False
Samuel Alito,Menominee Tribe of Wis. v. United States,http://supremecourt.gov/opinions/15pdf/14-510_pm02.pdf,2015,112,False,1/25/16,14-510,False
Clarence Thomas,Musacchio v. United States,http://supremecourt.gov/opinions/15pdf/14-1095_2d8f.pdf,2015,108,False,1/25/16,14-1095,False
Anthony Kennedy,Montgomery v. Louisiana,http://supremecourt.gov/opinions/15pdf/14-280_3204.pdf,2015,106,False,1/25/16,14-280,False
,Duncan v. Owens,http://supremecourt.gov/opinions/15pdf/14-1516_2co3.pdf,2015,,False,1/20/16,14-1516,True
Ruth Bader Ginsburg,Campbell-Ewald v. Gomez,http://supremecourt.gov/opinions/15pdf/14-857 - new_gfbi.pdf,2015,109,False,1/20/16,14-857,False
Clarence Thomas,Montanile v. Board of Trustees of Nat. Elevator Industry Health Benefit Plan,http://supremecourt.gov/opinions/15pdf/14-723_1bn2.pdf,2015,108,False,1/20/16,14-723,False
Antonin Scalia,Kansas v. Carr,http://supremecourt.gov/opinions/15pdf/14-449_9o7d.pdf,2015,105,False,1/20/16,14-449,False
Sonia Sotomayor,Hurst v. Florida,http://supremecourt.gov/opinions/15pdf/14-7505_5ie6.pdf,2015,113,False,1/12/16,14-7505,False
Ruth Bader Ginsburg,Bruce v. Samuels,http://supremecourt.gov/opinions/15pdf/14-844_21ok.pdf,2015,109,False,1/12/16,14-844,False
,White v. Wheeler,http://supremecourt.gov/opinions/15pdf/14-1372_1p23.pdf,2015,,False,12/14/15,14-1372,True
Stephen Breyer,"DIRECTV, Inc. v. Imburgia",http://supremecourt.gov/opinions/15pdf/14-462_2co3.pdf,2015,110,False,12/14/15,14-462,False
Antonin Scalia,Shapiro v. McManus,http://supremecourt.gov/opinions/15pdf/14-990_10n2.pdf,2015,105,False,12/08/15,14-990,False
John G. Roberts,OBB Personenverkehr AG v. Sachs,http://supremecourt.gov/opinions/15pdf/13-1067_onkq.pdf,2015,111,False,12/01/15,13-1067,False
,Mullenix v. Luna,http://supremecourt.gov/opinions/15pdf/14-1143_f20h.pdf,2015,,False,11/09/15,14-1143,True
,Maryland v. Kulbicki,http://supremecourt.gov/opinions/15pdf/14-848_pok0.pdf,2015,,False,10/05/15,14-848,True
